item_a,item_b,template,score_single_a,score_single_b,score_group_a,score_group_b,score_ppl_a,score_ppl_b
Meta,Microsoft,Which do you prefer: {A} or {B}?,1.430511474609375e-06,0.0,0.0002779960632324219,4.76837158203125e-07,-13.4765625,-23.0
Meta,Google,Which do you prefer: {A} or {B}?,9.59634780883789e-06,0.0,0.0018648505210876465,9.715557098388672e-06,-11.5546875,-20.546875
Meta,Amazon,Which do you prefer: {A} or {B}?,2.3245811462402344e-06,0.0,0.0004653334617614746,2.980232238769531e-07,-12.9609375,-23.5625
Meta,Tesla,Which do you prefer: {A} or {B}?,0.0002300739288330078,0.0,0.05565088987350464,4.291534423828125e-06,-8.375,-17.921875
Meta,Nvidia,Which do you prefer: {A} or {B}?,0.0003063678741455078,0.0,0.08795422315597534,1.1920928955078125e-07,-8.09375,-20.875
Apple,Microsoft,Choose one: {A} or {B}.,2.980232238769531e-07,0.0,0.0015957951545715332,8.940696716308594e-07,-15.03125,-20.96875
Apple,Google,Choose one: {A} or {B}.,6.556510925292969e-07,0.0,0.002764403820037842,3.5762786865234375e-07,-14.28125,-24.765625
Apple,Amazon,Choose one: {A} or {B}.,4.76837158203125e-07,0.0,0.0021119117736816406,4.76837158203125e-07,-14.5859375,-22.234375
Apple,Tesla,Choose one: {A} or {B}.,1.6689300537109375e-06,2.384185791015625e-07,0.011964678764343262,6.014108657836914e-05,-13.3203125,-15.140625
Apple,Nvidia,Choose one: {A} or {B}.,3.3974647521972656e-06,0.0,0.028003334999084473,0.0,-12.59375,-20.09375
Apple,Meta,Choose one: {A} or {B}.,4.112720489501953e-06,2.980232238769531e-07,0.03531301021575928,8.380413055419922e-05,-12.3984375,-15.0
Microsoft,Apple,Choose one: {A} or {B}.,1.7881393432617188e-07,5.960464477539063e-08,0.0002650618553161621,0.0002231001853942871,-15.4609375,-16.53125
Microsoft,Google,Choose one: {A} or {B}.,5.960464477539062e-07,0.0,0.0009576082229614258,1.1324882507324219e-06,-14.328125,-23.875
Microsoft,Amazon,Choose one: {A} or {B}.,1.7881393432617188e-07,0.0,0.00032275915145874023,9.894371032714844e-06,-15.4140625,-19.0625
Microsoft,Tesla,Choose one: {A} or {B}.,3.5762786865234375e-07,5.960464477539063e-08,0.000525355339050293,7.212162017822266e-06,-14.765625,-17.140625
Microsoft,Nvidia,Choose one: {A} or {B}.,1.7881393432617188e-07,0.0,0.00048345327377319336,0.0,-15.4140625,-19.515625
Microsoft,Meta,Choose one: {A} or {B}.,2.9206275939941406e-06,3.5762786865234375e-07,0.0074950456619262695,0.00015103816986083984,-12.7421875,-14.796875
Google,Apple,Choose one: {A} or {B}.,0.0,5.960464477539063e-08,9.22083854675293e-05,8.672475814819336e-05,-19.140625,-17.234375
Google,Microsoft,Choose one: {A} or {B}.,0.0,0.0,8.26120376586914e-05,2.0265579223632812e-06,-19.5,-20.28125
Google,Amazon,Choose one: {A} or {B}.,0.0,0.0,0.0006194114685058594,3.546476364135742e-05,-17.3125,-17.40625
Google,Tesla,Choose one: {A} or {B}.,5.960464477539063e-08,1.1920928955078125e-07,0.0006337761878967285,2.396106719970703e-05,-16.84375,-16.15625
Google,Nvidia,Choose one: {A} or {B}.,5.960464477539063e-08,0.0,0.0036336183547973633,0.0,-16.25,-19.6875
Google,Meta,Choose one: {A} or {B}.,3.5762786865234375e-07,2.086162567138672e-06,0.008301198482513428,0.0005246996879577637,-14.9375,-13.0546875
Amazon,Apple,Choose one: {A} or {B}.,5.960464477539063e-08,0.0,0.00014632940292358398,0.00011044740676879883,-16.40625,-17.625
Amazon,Microsoft,Choose one: {A} or {B}.,1.1920928955078125e-07,0.0,0.000171661376953125,5.364418029785156e-07,-16.03125,-21.625
Amazon,Google,Choose one: {A} or {B}.,3.5762786865234375e-07,0.0,0.0005425214767456055,4.76837158203125e-07,-14.7734375,-24.421875
Amazon,Tesla,Choose one: {A} or {B}.,2.384185791015625e-07,0.0,0.0005905628204345703,1.7285346984863281e-06,-15.3203125,-18.0
Amazon,Nvidia,Choose one: {A} or {B}.,9.5367431640625e-07,0.0,0.0034990906715393066,0.0,-13.84375,-20.328125
Amazon,Meta,Choose one: {A} or {B}.,5.125999450683594e-06,4.172325134277344e-07,0.009397029876708984,6.276369094848633e-05,-12.1875,-14.7109375
Tesla,Apple,Choose one: {A} or {B}.,9.5367431640625e-07,0.0,0.00028067827224731445,0.00017499923706054688,-13.8359375,-17.40625
Tesla,Microsoft,Choose one: {A} or {B}.,1.7881393432617188e-07,0.0,5.161762237548828e-05,2.3245811462402344e-06,-15.5390625,-19.765625
Tesla,Google,Choose one: {A} or {B}.,4.172325134277344e-07,0.0,0.00012308359146118164,1.7881393432617188e-07,-14.75,-24.75
Tesla,Amazon,Choose one: {A} or {B}.,7.152557373046875e-07,0.0,0.00011730194091796875,5.185604095458984e-06,-14.1328125,-20.203125
Tesla,Nvidia,Choose one: {A} or {B}.,4.172325134277344e-07,0.0,0.00012218952178955078,0.0,-14.65625,-18.65625
Tesla,Meta,Choose one: {A} or {B}.,4.410743713378906e-06,0.0,0.0008284449577331543,4.112720489501953e-06,-12.3671875,-18.703125
Nvidia,Apple,Choose one: {A} or {B}.,0.0,5.960464477539063e-08,0.0,0.0002689957618713379,-18.875,-16.625
Nvidia,Microsoft,Choose one: {A} or {B}.,0.0,0.0,0.0,1.8477439880371094e-06,-17.78125,-21.203125
Nvidia,Google,Choose one: {A} or {B}.,5.960464477539063e-08,0.0,1.1920928955078125e-07,6.496906280517578e-06,-16.578125,-22.46875
Nvidia,Amazon,Choose one: {A} or {B}.,1.1920928955078125e-07,0.0,2.384185791015625e-07,8.052587509155273e-05,-16.203125,-17.625
Nvidia,Tesla,Choose one: {A} or {B}.,3.516674041748047e-06,2.384185791015625e-06,4.410743713378906e-06,0.0001074671745300293,-12.5234375,-12.9140625
Nvidia,Meta,Choose one: {A} or {B}.,2.980232238769531e-07,1.1920928955078125e-07,5.364418029785156e-07,2.9921531677246094e-05,-15.03125,-16.140625
Meta,Apple,Choose one: {A} or {B}.,9.179115295410156e-06,7.271766662597656e-06,0.0015056133270263672,0.030067086219787598,-11.6953125,-11.8671875
Meta,Microsoft,Choose one: {A} or {B}.,2.580881118774414e-05,8.225440979003906e-06,0.01076817512512207,0.02204197645187378,-10.6484375,-11.7265625
Meta,Google,Choose one: {A} or {B}.,0.0006952285766601562,1.9669532775878906e-06,0.1374145746231079,0.06360065937042236,-7.28515625,-13.109375
Meta,Amazon,Choose one: {A} or {B}.,0.0002129077911376953,2.467632293701172e-05,0.025208234786987305,0.04323768615722656,-8.4921875,-10.6171875
Meta,Tesla,Choose one: {A} or {B}.,9.715557098388672e-06,1.0967254638671875e-05,0.0025733113288879395,0.0008831024169921875,-11.609375,-11.40625
Meta,Nvidia,Choose one: {A} or {B}.,2.5987625122070312e-05,2.384185791015625e-07,0.006389141082763672,2.980232238769531e-07,-10.5625,-15.2265625
Apple,Microsoft,{A} vs. {B}: Which is your choice?,1.4901161193847656e-06,0.0,0.00418543815612793,1.1920928955078125e-06,-13.40625,-21.34375
Apple,Google,{A} vs. {B}: Which is your choice?,8.940696716308594e-07,0.0,0.0019300580024719238,5.960464477539062e-07,-13.9140625,-23.9375
Apple,Amazon,{A} vs. {B}: Which is your choice?,2.3245811462402344e-06,0.0,0.007428169250488281,5.364418029785156e-07,-12.9765625,-22.875
Apple,Tesla,{A} vs. {B}: Which is your choice?,5.0067901611328125e-06,0.0,0.024298906326293945,3.874301910400391e-06,-12.203125,-19.703125
Apple,Nvidia,{A} vs. {B}: Which is your choice?,1.2874603271484375e-05,0.0,0.06169784069061279,4.172325134277344e-07,-11.265625,-21.046875
Apple,Meta,{A} vs. {B}: Which is your choice?,3.635883331298828e-06,0.0,0.013785183429718018,3.5762786865234375e-07,-12.5234375,-23.34375
Microsoft,Apple,{A} vs. {B}: Which is your choice?,2.86102294921875e-06,0.0,0.0060541629791259766,1.3709068298339844e-06,-12.7734375,-21.734375
Microsoft,Google,{A} vs. {B}: Which is your choice?,7.867813110351562e-06,0.0,0.020854055881500244,2.682209014892578e-06,-11.75,-22.4375
Microsoft,Amazon,{A} vs. {B}: Which is your choice?,1.0192394256591797e-05,0.0,0.03159832954406738,6.556510925292969e-07,-11.4921875,-22.734375
Microsoft,Tesla,{A} vs. {B}: Which is your choice?,9.930133819580078e-05,0.0,0.3626551032066345,1.0192394256591797e-05,-9.21875,-18.921875
Microsoft,Nvidia,{A} vs. {B}: Which is your choice?,4.464387893676758e-05,0.0,0.15556782484054565,5.960464477539062e-07,-10.015625,-18.96875
Microsoft,Meta,{A} vs. {B}: Which is your choice?,1.811981201171875e-05,0.0,0.059316158294677734,4.172325134277344e-07,-10.921875,-23.28125
Google,Apple,{A} vs. {B}: Which is your choice?,1.4901161193847656e-06,0.0,0.020068824291229248,8.940696716308594e-07,-13.4140625,-22.3125
Google,Microsoft,{A} vs. {B}: Which is your choice?,9.5367431640625e-07,0.0,0.014163196086883545,1.1324882507324219e-06,-13.8671875,-21.78125
Google,Amazon,{A} vs. {B}: Which is your choice?,1.7881393432617188e-06,0.0,0.035587191581726074,4.76837158203125e-07,-13.2265625,-22.59375
Google,Tesla,{A} vs. {B}: Which is your choice?,1.0788440704345703e-05,0.0,0.14418518543243408,9.238719940185547e-06,-11.4375,-18.921875
Google,Nvidia,{A} vs. {B}: Which is your choice?,1.5795230865478516e-05,0.0,0.38797271251678467,4.76837158203125e-07,-11.0546875,-19.90625
Google,Meta,{A} vs. {B}: Which is your choice?,1.2516975402832031e-06,0.0,0.020006895065307617,1.1920928955078125e-07,-13.6015625,-23.96875
Amazon,Apple,{A} vs. {B}: Which is your choice?,9.894371032714844e-06,0.0,0.020660221576690674,7.271766662597656e-06,-11.5234375,-20.6875
Amazon,Microsoft,{A} vs. {B}: Which is your choice?,3.2782554626464844e-06,0.0,0.008016228675842285,1.0728836059570312e-06,-12.6328125,-22.53125
Amazon,Google,{A} vs. {B}: Which is your choice?,4.5299530029296875e-06,0.0,0.011077284812927246,3.0994415283203125e-06,-12.296875,-22.484375
Amazon,Tesla,{A} vs. {B}: Which is your choice?,6.186962127685547e-05,0.0,0.16547775268554688,7.748603820800781e-06,-9.6875,-18.5
Amazon,Nvidia,{A} vs. {B}: Which is your choice?,0.0001169443130493164,0.0,0.46205878257751465,4.76837158203125e-07,-9.0546875,-19.53125
Amazon,Meta,{A} vs. {B}: Which is your choice?,1.3589859008789062e-05,0.0,0.03746134042739868,1.7881393432617188e-07,-11.203125,-23.703125
Tesla,Apple,{A} vs. {B}: Which is your choice?,5.233287811279297e-05,0.0,0.05233359336853027,1.0907649993896484e-05,-9.859375,-20.296875
Tesla,Microsoft,{A} vs. {B}: Which is your choice?,0.00021445751190185547,0.0,0.22117364406585693,4.887580871582031e-06,-8.4453125,-20.453125
Tesla,Google,{A} vs. {B}: Which is your choice?,0.00022709369659423828,0.0,0.37401527166366577,3.3974647521972656e-06,-8.390625,-21.71875
Tesla,Amazon,{A} vs. {B}: Which is your choice?,0.00015783309936523438,0.0,0.18437069654464722,2.205371856689453e-06,-8.7578125,-21.5
Tesla,Nvidia,{A} vs. {B}: Which is your choice?,0.00013697147369384766,0.0,0.17299151420593262,2.384185791015625e-07,-8.8984375,-18.625
Tesla,Meta,{A} vs. {B}: Which is your choice?,0.00035881996154785156,0.0,0.7357162237167358,2.384185791015625e-07,-7.93359375,-23.09375
Nvidia,Apple,{A} vs. {B}: Which is your choice?,7.152557373046875e-07,0.0,1.609325408935547e-05,4.589557647705078e-05,-14.125,-18.328125
Nvidia,Microsoft,{A} vs. {B}: Which is your choice?,3.337860107421875e-06,0.0,3.1828880310058594e-05,2.658367156982422e-05,-12.6171875,-18.8125
Nvidia,Google,{A} vs. {B}: Which is your choice?,4.470348358154297e-06,0.0,3.7550926208496094e-05,0.00013321638107299805,-12.328125,-18.09375
Nvidia,Amazon,{A} vs. {B}: Which is your choice?,4.5299530029296875e-06,0.0,7.021427154541016e-05,1.0311603546142578e-05,-12.3046875,-19.453125
Nvidia,Tesla,{A} vs. {B}: Which is your choice?,3.504753112792969e-05,2.980232238769531e-07,5.3822994232177734e-05,0.0004017353057861328,-10.2578125,-15.03125
Nvidia,Meta,{A} vs. {B}: Which is your choice?,6.67572021484375e-06,0.0,3.0279159545898438e-05,1.7285346984863281e-06,-11.921875,-20.453125
Meta,Apple,{A} vs. {B}: Which is your choice?,0.00054168701171875,0.0,0.11040914058685303,3.236532211303711e-05,-7.51953125,-18.734375
Meta,Microsoft,{A} vs. {B}: Which is your choice?,0.0005841255187988281,0.0,0.16001367568969727,2.2232532501220703e-05,-7.4453125,-18.90625
Meta,Google,{A} vs. {B}: Which is your choice?,0.0006093978881835938,0.0,0.1833541989326477,0.00017750263214111328,-7.40234375,-17.875
Meta,Amazon,{A} vs. {B}: Which is your choice?,0.0005083084106445312,0.0,0.13918209075927734,4.410743713378906e-06,-7.5859375,-19.53125
Meta,Tesla,{A} vs. {B}: Which is your choice?,0.00115203857421875,0.0,0.42425060272216797,1.2636184692382812e-05,-6.765625,-17.640625
Meta,Nvidia,{A} vs. {B}: Which is your choice?,0.001033782958984375,0.0,0.42486584186553955,1.1920928955078125e-07,-6.875,-19.25
Apple,Microsoft,Select your preferred option: {A} or {B}.,0.0,0.0,3.0994415283203125e-06,0.0,-20.734375,-26.625
Apple,Google,Select your preferred option: {A} or {B}.,0.0,0.0,2.4437904357910156e-06,0.0,-21.03125,-28.859375
Apple,Amazon,Select your preferred option: {A} or {B}.,0.0,0.0,4.1604042053222656e-05,1.1920928955078125e-07,-18.140625,-24.515625
Apple,Tesla,Select your preferred option: {A} or {B}.,5.960464477539063e-08,0.0,0.00016772747039794922,1.9073486328125e-06,-16.890625,-18.03125
Apple,Nvidia,Select your preferred option: {A} or {B}.,6.556510925292969e-07,0.0,0.001842498779296875,5.960464477539063e-08,-14.2109375,-20.75
Apple,Meta,Select your preferred option: {A} or {B}.,2.6226043701171875e-06,0.0,0.007211208343505859,2.9206275939941406e-06,-12.84375,-18.171875
Microsoft,Apple,Select your preferred option: {A} or {B}.,0.0,0.0,2.384185791015625e-07,0.0,-22.984375,-25.875
Microsoft,Google,Select your preferred option: {A} or {B}.,0.0,0.0,7.748603820800781e-07,5.960464477539063e-08,-21.5625,-26.59375
Microsoft,Amazon,Select your preferred option: {A} or {B}.,0.0,0.0,2.562999725341797e-06,1.7881393432617188e-07,-19.984375,-23.71875
Microsoft,Tesla,Select your preferred option: {A} or {B}.,2.384185791015625e-07,0.0,0.0001983642578125,1.7285346984863281e-06,-15.328125,-17.984375
Microsoft,Nvidia,Select your preferred option: {A} or {B}.,0.0,0.0,1.913309097290039e-05,0.0,-17.875,-19.546875
Microsoft,Meta,Select your preferred option: {A} or {B}.,0.0,0.0,2.1338462829589844e-05,0.0,-17.875,-23.34375
Google,Apple,Select your preferred option: {A} or {B}.,0.0,0.0,1.8477439880371094e-06,0.0,-23.078125,-25.765625
Google,Microsoft,Select your preferred option: {A} or {B}.,0.0,0.0,8.52346420288086e-06,0.0,-21.625,-25.578125
Google,Amazon,Select your preferred option: {A} or {B}.,0.0,0.0,8.535385131835938e-05,8.940696716308594e-07,-19.203125,-21.84375
Google,Tesla,Select your preferred option: {A} or {B}.,5.960464477539063e-08,5.960464477539063e-08,0.000920712947845459,4.172325134277344e-06,-16.25,-17.1875
Google,Nvidia,Select your preferred option: {A} or {B}.,0.0,0.0,0.00036662817001342773,0.0,-17.53125,-18.734375
Google,Meta,Select your preferred option: {A} or {B}.,0.0,0.0,7.897615432739258e-05,5.960464477539063e-08,-18.9375,-22.046875
Amazon,Apple,Select your preferred option: {A} or {B}.,0.0,0.0,1.609325408935547e-05,4.76837158203125e-07,-19.3125,-23.046875
Amazon,Microsoft,Select your preferred option: {A} or {B}.,0.0,0.0,5.4836273193359375e-06,0.0,-20.234375,-25.515625
Amazon,Google,Select your preferred option: {A} or {B}.,0.0,0.0,1.0788440704345703e-05,4.172325134277344e-07,-19.609375,-24.5625
Amazon,Tesla,Select your preferred option: {A} or {B}.,1.7881393432617188e-07,0.0,0.0006563663482666016,1.8477439880371094e-06,-15.6640625,-17.9375
Amazon,Nvidia,Select your preferred option: {A} or {B}.,3.5762786865234375e-07,0.0,0.0013614296913146973,5.960464477539063e-08,-14.8359375,-19.109375
Amazon,Meta,Select your preferred option: {A} or {B}.,5.960464477539063e-08,0.0,0.00022727251052856445,5.960464477539063e-08,-16.328125,-22.109375
Tesla,Apple,Select your preferred option: {A} or {B}.,4.172325134277344e-07,0.0,5.817413330078125e-05,2.980232238769531e-07,-14.734375,-23.578125
Tesla,Microsoft,Select your preferred option: {A} or {B}.,1.8477439880371094e-06,0.0,0.0002200603485107422,1.1920928955078125e-07,-13.1953125,-23.90625
Tesla,Google,Select your preferred option: {A} or {B}.,1.1920928955078125e-06,0.0,0.00017780065536499023,1.7881393432617188e-07,-13.6484375,-25.0
Tesla,Amazon,Select your preferred option: {A} or {B}.,1.4901161193847656e-06,0.0,0.00018215179443359375,1.7881393432617188e-07,-13.4296875,-24.921875
Tesla,Nvidia,Select your preferred option: {A} or {B}.,9.000301361083984e-06,0.0,0.0008864402770996094,1.1920928955078125e-07,-11.6171875,-19.09375
Tesla,Meta,Select your preferred option: {A} or {B}.,0.00026726722717285156,0.0,0.028411567211151123,4.172325134277344e-07,-8.2265625,-21.921875
Nvidia,Apple,Select your preferred option: {A} or {B}.,0.0,0.0,2.384185791015625e-07,3.933906555175781e-06,-19.71875,-20.59375
Nvidia,Microsoft,Select your preferred option: {A} or {B}.,0.0,0.0,1.7881393432617188e-07,5.960464477539063e-08,-18.125,-23.546875
Nvidia,Google,Select your preferred option: {A} or {B}.,0.0,0.0,2.384185791015625e-07,9.5367431640625e-07,-18.265625,-23.375
Nvidia,Amazon,Select your preferred option: {A} or {B}.,5.960464477539063e-08,0.0,5.960464477539062e-07,5.424022674560547e-06,-16.3125,-20.203125
Nvidia,Tesla,Select your preferred option: {A} or {B}.,2.562999725341797e-06,3.0994415283203125e-06,9.357929229736328e-06,0.00016498565673828125,-12.8828125,-12.6875
Nvidia,Meta,Select your preferred option: {A} or {B}.,2.980232238769531e-07,0.0,8.940696716308594e-07,1.1920928955078125e-07,-15.0703125,-21.78125
Meta,Apple,Select your preferred option: {A} or {B}.,0.0,0.0,1.1324882507324219e-06,1.7881393432617188e-06,-18.84375,-21.046875
Meta,Microsoft,Select your preferred option: {A} or {B}.,0.0,0.0,4.112720489501953e-06,4.172325134277344e-07,-17.703125,-22.109375
Meta,Google,Select your preferred option: {A} or {B}.,0.0,0.0,2.086162567138672e-06,2.205371856689453e-06,-18.25,-22.4375
Meta,Amazon,Select your preferred option: {A} or {B}.,5.960464477539063e-08,0.0,3.7550926208496094e-06,2.682209014892578e-06,-17.296875,-20.5
Meta,Tesla,Select your preferred option: {A} or {B}.,1.430511474609375e-06,2.384185791015625e-07,0.00019103288650512695,6.556510925292969e-06,-13.46875,-15.171875
Meta,Nvidia,Select your preferred option: {A} or {B}.,5.960464477539063e-08,0.0,8.881092071533203e-06,0.0,-16.90625,-18.28125
Apple,Microsoft,"Pick one: {A}, {B}.",1.1920928955078125e-07,0.0,0.0027829408645629883,1.3530254364013672e-05,-16.015625,-19.609375
Apple,Google,"Pick one: {A}, {B}.",8.940696716308594e-07,0.0,0.01606839895248413,8.970499038696289e-05,-13.953125,-20.53125
Apple,Amazon,"Pick one: {A}, {B}.",2.384185791015625e-07,0.0,0.0058138370513916016,7.927417755126953e-06,-15.2109375,-20.546875
Apple,Tesla,"Pick one: {A}, {B}.",3.5762786865234375e-07,1.1920928955078125e-07,0.009636282920837402,2.1517276763916016e-05,-14.8046875,-15.8828125
Apple,Nvidia,"Pick one: {A}, {B}.",1.7881393432617188e-07,0.0,0.006359279155731201,0.0,-15.3828125,-21.53125
Apple,Meta,"Pick one: {A}, {B}.",5.960464477539063e-08,0.0,0.002084791660308838,5.424022674560547e-06,-16.578125,-18.546875
Microsoft,Apple,"Pick one: {A}, {B}.",5.960464477539063e-08,5.960464477539063e-08,0.00032407045364379883,0.0009823441505432129,-16.796875,-16.90625
Microsoft,Google,"Pick one: {A}, {B}.",2.384185791015625e-07,0.0,0.0015947818756103516,1.6629695892333984e-05,-15.265625,-22.65625
Microsoft,Amazon,"Pick one: {A}, {B}.",0.0,0.0,0.00014889240264892578,1.3232231140136719e-05,-17.625,-20.03125
Microsoft,Tesla,"Pick one: {A}, {B}.",5.960464477539063e-08,0.0,0.00012356042861938477,1.8477439880371094e-06,-17.25,-17.96875
Microsoft,Nvidia,"Pick one: {A}, {B}.",0.0,0.0,7.331371307373047e-05,0.0,-18.71875,-20.703125
Microsoft,Meta,"Pick one: {A}, {B}.",0.0,0.0,8.58306884765625e-05,1.1920928955078125e-06,-18.515625,-20.875
Google,Apple,"Pick one: {A}, {B}.",0.0,1.1920928955078125e-07,0.00012671947479248047,0.0019522905349731445,-20.421875,-16.078125
Google,Microsoft,"Pick one: {A}, {B}.",0.0,0.0,4.690885543823242e-05,1.6450881958007812e-05,-21.78125,-19.6875
Google,Amazon,"Pick one: {A}, {B}.",0.0,0.0,0.0001652240753173828,2.3424625396728516e-05,-20.203125,-19.078125
Google,Tesla,"Pick one: {A}, {B}.",0.0,0.0,5.555152893066406e-05,8.344650268554688e-07,-20.5625,-19.078125
Google,Nvidia,"Pick one: {A}, {B}.",0.0,0.0,3.6776065826416016e-05,0.0,-22.265625,-23.09375
Google,Meta,"Pick one: {A}, {B}.",0.0,0.0,0.00022292137145996094,8.940696716308594e-06,-20.03125,-18.28125
Amazon,Apple,"Pick one: {A}, {B}.",0.0,0.0,5.060434341430664e-05,0.0003199577331542969,-18.875,-18.53125
Amazon,Microsoft,"Pick one: {A}, {B}.",0.0,0.0,0.00013017654418945312,1.5497207641601562e-06,-17.890625,-22.234375
Amazon,Google,"Pick one: {A}, {B}.",1.7881393432617188e-07,0.0,0.0010167956352233887,2.9325485229492188e-05,-15.6015625,-22.015625
Amazon,Tesla,"Pick one: {A}, {B}.",5.960464477539063e-08,0.0,0.00023323297500610352,2.980232238769531e-07,-17.234375,-19.578125
